,K,alpha,beta,max_iter,Coh_ave(LDA),Coh_std(LDA),Coh_ave(JTM),Coh_std(JTM),Per(LDA),Per(JTM)
0,3.0,0.1,0.1,100.0,-6608.179261465421,899.3858589630889,-7069.712734109696,435.6703530192061,1155.2633307043411,1070.7242870967068
1,4.0,0.1,0.1,100.0,-6987.339554412041,361.77396472701236,-6808.48947582186,553.6359459295875,813.0055661843162,475.1585476090782
2,5.0,0.1,0.1,100.0,-6404.636611265063,791.758081478026,-6486.538846000853,656.2714953640616,1065.575671226821,3348.910324428413
3,6.0,0.1,0.1,100.0,-6637.5667905149685,614.2383354952349,-6564.023657611076,432.02976879951103,1159.7714691992599,2210.0736775891783
4,7.0,0.1,0.1,100.0,-6386.280964399628,759.5343888597952,-6540.0138479717,447.8235888608729,1002.2071358416977,2691.9409324784906
5,8.0,0.1,0.1,100.0,-6316.67520050094,631.4964661124017,-6130.832502460123,766.759118945712,1494.8690407713395,1637.7717775534522
6,9.0,0.1,0.1,100.0,-6297.364937151121,638.1233065497588,-6495.239417359564,493.77042651033554,1259.5174423334136,4555.338555352794
7,10.0,0.1,0.1,100.0,-6225.440898849122,719.3890740113586,-6361.991842543406,591.8115195810045,1958.5096590868047,2965.6237730767075
8,11.0,0.1,0.1,100.0,-6103.045358130079,734.1808319437912,-6395.973077162847,608.5772366577773,1481.3582464928945,1493.4596622494093
9,12.0,0.1,0.1,100.0,-6108.035015372025,973.0565924175603,-6114.988255433621,942.7117920268031,1945.0697174120098,2790.4778151366318
10,13.0,0.1,0.1,100.0,-6089.895165676093,748.7748944671293,-5971.435423670051,757.1879022043096,2306.7889838158812,987.2621539003993
11,14.0,0.1,0.1,100.0,-6310.351976117621,645.8283844829481,-6052.839627388261,962.5933223450072,1043.6474285483737,1605.7355538817453
12,15.0,0.1,0.1,100.0,-6203.680758162017,805.2780212653909,-6129.227330694105,862.5874720518959,3062.3514048938105,4405.10575737655
13,16.0,0.1,0.1,100.0,-6018.632709866039,789.6671961097599,-6121.320534853115,960.8867043998155,3701.612307797102,1687.4690784639213
14,17.0,0.1,0.1,100.0,-5934.468443297528,930.5569543513969,-5795.112723830408,996.4558807577813,2590.9396308762234,2359.9631382287685
15,18.0,0.1,0.1,100.0,-5975.4981428095525,781.5938202834442,-5797.6253992402235,963.3142512629416,2046.8941434943838,2541.379258932516
