,K,alpha,beta,max_iter,Coh_ave(LDA),Coh_std(LDA),Coh_ave(JTM),Coh_std(JTM),Per(LDA),Per(JTM)
0,3.0,0.1,0.1,100.0,-6541.268128186312,1061.5873968518226,-6647.082934080634,414.30369856878616,1126.568764878619,1313.5593000928914
1,4.0,0.1,0.1,100.0,-6950.587802317166,193.4621326227964,-6765.519657530919,711.4887903408405,908.3932469904781,873.5771469846621
2,5.0,0.1,0.1,100.0,-6631.457596504386,861.4359248220887,-6688.516797355625,722.3052236151887,1291.5302935983173,813.8413066371711
3,6.0,0.1,0.1,100.0,-6579.827069639155,762.684949056019,-6313.92914834215,955.1154796902687,1620.4721510211473,1440.6008765279942
4,7.0,0.1,0.1,100.0,-6374.336794500809,727.9059764246028,-6287.809237705676,811.9668976447836,1247.242694877085,1003.3906715450311
5,8.0,0.1,0.1,100.0,-6388.410122558913,839.8894327729421,-6385.159660975231,744.5083617841497,1071.3819038084255,2409.790834313448
6,9.0,0.1,0.1,100.0,-6499.1408534910115,496.8621733179075,-6364.016258225066,784.6236332126828,1329.9193652743472,962.4761488633275
7,10.0,0.1,0.1,100.0,-6095.458584550293,782.0995917520722,-6233.888568422988,812.8784644983142,1979.3193875780019,1235.1540744875876
8,11.0,0.1,0.1,100.0,-6337.5428184191205,859.3491334290134,-6190.247675963675,607.6792880180767,3100.999482958783,1293.755517339658
9,12.0,0.1,0.1,100.0,-6226.94753921399,817.4471561887051,-6340.077917898477,871.1423633360401,1284.4400306662637,2222.6417630937876
10,13.0,0.1,0.1,100.0,-6029.341379475587,981.6821427098763,-6017.8581091789465,665.9205827650816,1893.1443066781183,1789.7467369471124
11,14.0,0.1,0.1,100.0,-6186.449179208976,831.481348570274,-6113.241370542049,792.9782646139688,3521.117485464583,4174.64999826558
12,15.0,0.1,0.1,100.0,-6170.290514008952,579.7837658493712,-6165.309794634754,598.7414286244617,2235.745629123712,1723.7370351278526
13,16.0,0.1,0.1,100.0,-5896.115210285014,886.2288463716163,-6141.59742341886,804.9987966027063,1961.759652639733,1767.955235540272
14,17.0,0.1,0.1,100.0,-6215.683117999799,762.2384615117495,-6023.222246129654,819.7747321541323,1271.0813117085831,1747.806182835867
15,18.0,0.1,0.1,100.0,-5915.231273189882,953.9723351705944,-5934.327119796616,1022.6570375561591,3007.6399483070595,3898.9749486448613
