,授業科目名,学修の目的,学修内容,授業改善の工夫,成績評価方法と基準,履修上の注意,その他
0,基礎統計,統計学は、日常生活や社会で起こる様々な現象を観察し、そこから得られる数値データを分析（記述、検証など）して、その現象の法則性を探っていくことを目的としている。近年のコンピュータの普及に伴い、容易にソフトウェアを用いてデータ分析ができるようになってきたが、データの特性や分析の目的に応じた統計手法を用いるためには、統計学の基礎的概念を理解し、数値結果を適切に評価する能力を身につける必要がある。そこで、本講義では、統計学の基礎的概念と統計手法について解説し、どのように現実の問題に適用されているのかを身近な例を用いて説明する。通常、データには対象について知りたいと思う性質とは無関係な変動が加わる可能性があり、そのような偶然的な変動は、確率論の法則に従うものと考えられるため、確率論についても取り上げることにする。そして、確率論を背景にして体系づけられた統計的推測について、推定と仮説検定を通して学ぶ。受講後には、新たな問題に直面した時に自ら統計分析を行い問題解決ができるようになることを目指す。,1.1次元データの整理・要約(平均、分散、標準偏差、基準化、歪度、尖度など)2.2次元データの整理・要約(共分散、相関係数、回帰直線など)3.確率（確率、条件付確率、事象の独立など）4.確率変数と確率分布（確率変数、確率分布、期待値、確率変数の平均と分散、Bernoulli試行、2項分布、Poisson分布、幾何分布、正規分布、指数分布など）5.独立同一分布（同時確率分布、独立同一分布、和の分布など）6.統計量（母集団、標本、標本分布、正規母集団、中心極限定理、大数法則など）7.標本分布（母集団と標本の概念、統計量、標本平均の平均と分散など）8.統計的推定（点推定、区間推定、不偏推定量など）9.統計的検定論（正規母集団に関する検定、2項母集団に関する検定など）,教科書とスライド（PowerPoint）を用いて講義を行う。適宜プリントを配布する。,成績は、小テスト(50%)、レポート(50%)により総合的に評価する。括弧内は目安。,レポート(3回予定)を必ず提出すること。,
1,有機反応化学（有機化合物の化学）,理科生はクラス指定された曜日・時間帯で受講する．この科目では，有機化合物の構造・性質・反応・機構について学ぶ．以下に標準的な講義項目を示す．ただし，項目の順序や内容は各教員によって若干異なる．１．序論・物質化学における有機化学の位置づけ．２．炭素が関与する化学結合・炭素の原子価状態，正四面体モデル，混成軌道，電気陰性度と結合の極性・メタン，エチレン，アセチレンの分子軌道（σ軌道とπ軌道）３．異性現象と立体化学・異性体，立体配座，立体配置，不斉現象，キラリティー，RS表示４．有機化合物の性質・分子間力，水素結合，分散力，酸と塩基，共役系，芳香族性５．有機化合物の反応およびその機構・脂肪族求核置換反応，脱離反応，付加反応，付加環化反応，転位反応，芳香族求電子置換反応，カルボニル化合物の反応・一次反応，二次反応，反応中間体，反応遷移状態，化学平衡６．目的化合物の合成・逆合成解析，生理活性物質の合成，機能物質の合成,有機化合物の多様な構造や物性、それらに基づく反応や合成について概説する。講義はおおむね以下の項目に沿って行う。１．有機化合物を構成する元素とその振舞い２．有機化合物の立体構造３．反応はなぜ起こるのか４．電子の流れ図の考え方５．官能基の性質と反応６．目的物の合成法７．各種機能性有機化合物（医薬品、プローブなど）の理解,毎回、ハンドアウトをITC-LMSからダウンロードして、それを中心に解説を行う。【重要】zoomのinvitationURLは、UTASとITC-LMSに毎回upします。,出席点、期末試験成績により評価する。,講義のURLや資料配布、成績評価法は、教養学部の方針に従って随時指示する。,
2,数理科学基礎,科学・技術の礎となる数理科学の基礎的内容を学び，高等学校で学んだ数学から大学で学ぶ数学への橋渡しとする．講義は微分積分と線型代数の二つのテーマからなり，それぞれ通しの授業として開講される．本科目の講義内容はS2タームから始まる「微分積分学」「線型代数学」に接続する．,講義内容はおおむね以下の通りであるが，担当教員によっては順序や内容に一部変更が加えられる場合がある．微分積分●極限と連続性実数の連続性．関数や数列の極限値の厳密な定義，極限の基本性質，連続関数の定義，最大値・最小値の存在，中間値の定理．●１変数関数の微分逆関数の微分，種々の関数，原始関数，微分方程式（変数分離形）．●２変数関数のグラフと偏微分偏微分係数と偏導関数の定義と計算，偏微分係数を用いて接平面を表す方法．線型代数●平面や空間のベクトル平面での一次変換とその線型性．空間ベクトルの内積や外積，平面のパラメータ表示と方程式．一般次元の数ベクトル．●行列とその演算行列の導入，行列の和・スカラー倍・積，逆行列の定義とその２次正方行列の場合の計算，線型写像とその基本的な性質（特に行列の積との関連）．●連立一次方程式と基本変形行列による連立一次方程式の表示，基本変形による解法．以上の項目に加えて，述語論理（全称命題，存在命題，命題の否定など）および集合と写像（集合の用語と記法．写像の定義域，制限，合成．単射，全射，逆写像など）を学ぶ．なお，実数の連続性の詳細や有界閉区間上の連続関数の最大値・最小値の存在，中間値の定理の証明は「解析学基礎」（一年生も履修可能）で扱う．,講義形式であるが，担当教員によっては適宜小テストやレポートを課すことがある．成績評価は主として期末試験によって行なう．,主としてS1ターム末に行われる定期試験によるが，担当教員によっては小テストやレポートを含めて評価する場合がある．,"この科目は，S1タームを通じて各週2回の講義からなり,S1ターム末に行われる定期試験は、両曜日の内容を併せたものに対して行われる．この科目の微分積分の部分は，S2ターム及びAセメスターの「微分積分学」に接続し，線型代数の部分はS2ターム及びAセメスターの「線型代数学」に接続する．",
3,メディカルケアコース３（運動器系の疾病・障害により、スポーツコース等での履修は不適当だが、個別に運動を許可された者が履修する）,週１回の授業を通じて1.身体および身体運動に関する知識を習得する。2.自らの身体運動を対象とする実験実習や実技実習を通じて、事物の本質的理解（肌でわかる・体感する）のための基礎技術を習得する。3.スポーツやトレーニングなどの文化的身体運動の実習による動きの改善・身体能力の向上を通じて、自己の身体の管理・操作技能を習得する。4.生涯教育としての心身の健康教育・運動習慣の基礎作りを行う。,注：以下は新型コロナウイルス感染症の拡大状況によっては変更となることがある第1回教室でのガイダンス・種目選択（使用する教室は教務課HPやITC-LMSで連絡する）第2回体力テスト※またはオンライン講義（学生は半数ずつに分かれ、どちらかに参加）第3回体力テスト※またはオンライン講義（学生は半数ずつに分かれ、どちらかに参加）第4回目以降各自の選択した曜限での授業※メディカルケアコースの受講希望者は、見学または一部の種目だけ実施としてかまわない,注：以下は新型コロナウイルス感染症の拡大状況によっては変更となることがある各自の状況に応じて、各自に合った運動を処方して行う。毎回日誌をつけて、自己の状況を確認する。,注：以下は新型コロナウイルス感染症の拡大状況によっては変更となることがある1出席この授業の意義は実際に身体を動かすことで、身体運動の科学的法則を認識するとともに、健康・体力・技能を増進し、またその方法を習得することにある。そこで出席（遅刻、早退、見学を含む）はきわめて重視される。2達成度各自が選択履修している授業について、学習達成度の評価を行う。3その他授業中にどのような態度で参加し、どのように自己の役割を認識し、実行しているか、学習内容をどれだけ理解しているのか、等を評価する。,第１〜３回目まではクラス指定された曜限で受講し、第４回目から希望するメディカルケアコースの曜限で受講すること。必ず健康診断を受けた上で実技授業に参加すること。対面授業に参加する際は、手洗いやマスク着用など、感染症対策を徹底すること。更衣室での密集・密接には十分注意し、必要以上の会話はしないこと。盗難が多いので貴重品の管理などには十分注意すること。体育館は土足、飲食禁止である。障害保険に加入することが望ましい。,
4,認知についての英文を読む,知覚や認識に関わる現象を扱った英文を読むことを通して読解力の増強に努めるとともに関連事項についての理解を深めることを目的とする。,複数の英文を教材とする読解演習を主とする授業なので教材自体に特定の順番で取り上げる必然性はないが、使用予定の英文は相互に関連する事柄を扱ったものなので、初回に説明する各教材の概要と相互の関係に従った形で授業を進めていく。,予め指定された予習範囲について授業の始めに予習チェックの小試験を行った後、前回分についての質問とそれへの回答・説明を行い、その後基本的には履修者との質疑応答を通してその回の教材英文の理解確認を行う。その時点で残っている時間に応じて授業の後半に授業内課題として(一部視聴教材を含む)補助教材を与えたり関連資料を読んでもらう。,最終授業時に行う試験が50%、授業中の小試験・課題と授業への参加度・積極性が50%になる割合で評価する。,授業は基本的には予習で不明だった箇所についての履修者からの質問に沿って行う部分が多いので、予習の重要性を認識したうえで履修すること。,
5,中国語入門（Aセメスターの続き）,中国語学習の重要な基礎となる”発音”と”文法”を学ぶ。この授業は同教員が担当したAセメスターの続きを行う（第9課から始める予定）。授業の性質上30名を定員とする。,オンライン授業を実施します。定員を超えた場合には、抽選があるので教員の指示に従うこと。,講義と練習,小テストや期末試験など状況に応じて変更があるので担当教員の指示に従うこと。,〇ネイティヴ、ニアネイティヴの受講はご遠慮いただきたい。〇始業までの指示はUTAS上のシラバスに記載する。始業後は担当教員の指示に従うこと。（抽選の有無や方式など）,
6,スペイン語初級,スペイン語の骨格を35の基本文を軸にしてひととおり学ぶ。スペイン語は動詞の活用と名詞修飾語句の変化が２つの柱であるが、その基本のしくみを身につけることを目標とする。また、活用形から不定詞(原形)を導きだし正しく辞書が引けるようになること(＝講座終了後も独学で続けられること)も本講座の目標のひとつである。,Sタームは、基本的な挨拶表現・基本語彙、動詞の全時制を学び、スペイン語の文法の基礎を終了する。活用形の理解・習得を第一とするが、できるだけ会話表現もとりいれる。下記教科書をSタームで1冊終える予定。,基本文和訳、文法事項の説明、ダイアログ和訳、練習問題、の順で進める。時間の初めに、前回の学習内容を確認する問題(単語・表現、活用等)を５題程度行う予定。ITC-LMS上での小テスト等を利用する可能性もあり。各課基本文の応用練習(解答は別途配布)、教科書巻末の単語は自宅学習とし、随時質問を受け付ける。,毎回の小テスト25%期末テスト75％いずれもITCLMSを使用しオンラインで実施。通信状況その他の事情により期末テストが正常に実施できない場合は、毎回の小テストの配分を高くする可能性があります。,"授業に関するお知らせはITC-LMS上に掲載するのでこまめに確認してください。トラブルにより授業の途中で中断された際は、対応をITC-LMS上に告知します。履修を決めた場合は速やかに教科書を購入してください(出版社のサイトから購入可)。1,2週目の資料はITC-LMS上で配布予定。質問メールはスペイン語に関するものに限定し、成績相談には一切応じません。",
7,初修イタリア語,イタリア語共通教科書（東京大学イタリア語教材編集委員会編『Italiano...inpartenza!イタリア語のスタート』）を用いて、イタリア語の基礎を勉強します。昨年度Aセメスターからイタリア語を学び始めた人や初歩的な文法事項についてはすでに学習済みの人を対象に、今期はLezione5（第5課）からスタートし、初級～中級レベルの文法の習得を目指します。またインプットのみではなく自らアウトプットできるように支援します。第1回目の授業で現在までのイタリア語学習歴、既習外国語歴を伺い、履修者のレベルに合わせて進め方を調整します。,教科書に沿って、文法を中心にイタリア語の基礎を学習します。直接法近過去、直説法未来・半過去、命令法、受動態などを学ぶ予定です。,教科書に沿って文法事項を説明すると共に、練習問題の解説を行います。学習内容に合わせて、適宜、視聴覚教材なども使用します。,授業への貢献（授業での積極的な発言、授業後のフィードバック）小テスト（各単元ごとに小テストを実施します）課題の提出（学期中、課題を課します）プレゼンテーション（イタリア語でプレゼンテーションしてもらいます）で総合的に判断します。,授業では毎回、次の授業で扱う項目を指示しますので、必ず予習（単語の意味を調べておくこと、練習問題を解くこと）をしてください。資料はオンライン上にフォルダーを作成して共有しますので、欠席した際には必ず目を通しておいて下さい。,
8,ＴＬＰフランス語インテンシヴ・コース（1年次）,ＴＬＰ（トライリンガル・プログラム）履修生のための授業。一列・二列（文法と講読）、演習（ＴＬＰ用）、そしてインテンシヴ・コース（ＴＬＰ用）を合わせて、集中的にフランス語の基礎を学び、レベルの高い運用能力の獲得を目指す。,１年次のＳセメスター、Ａセメスター、そして２年次のＳセメスターの３セメスターを活用し、ヨーロッパ共通言語参照枠（ＣＥＦＲ）のＡ１レベルからＢ１レベルまでに対応する授業を展開する。,文法講義（日本語とフランス語）およびフランス語の運用能力を目指したインタラクティヴな活動（フランス語）,期末試験、小テスト、授業への参加態度などから総合的に評価する,ホームページにある履修ガイドを十分に参考にすること,
9,ベトナム語入門I,ベトナム語を学習するにあたって基礎となる発音、文字の読み方、書き方から始め、基礎文法、簡単な会話表現を学ぶ。ベトナム語の基礎文法、初歩的な会話表現を習得することを目標とする。,1．ベトナム語の概要発音と文字12．ベトナム語の概要発音と文字23．発音と文字3、あいさつ表現4．発音と文字4、あいさつ表現5．あいさつ表現、人称詞6．人称詞、là文7．là文、数字表現8．数字表現、形容詞文9．形容詞文、動詞文10．動詞文、疑問文11．疑問文12．助動詞13．複合表現,講義とベトナム語の練習,出席と課題提出および定期試験,一般言語学の基礎的知識があると良い。,
